date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:59	10055/10055	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e34b4-2747%22	https://html.rovadex.com/html-quadex/img/client-3.svg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/client-3.svg	(from https://html.rovadex.com/html-quadex/about.html)
12:13:59	22160/22160	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e34b4-5690%22	https://html.rovadex.com/html-quadex/img/client-4.svg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/client-4.svg	(from https://html.rovadex.com/html-quadex/about.html)
12:14:00	18179/18179	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e34b5-4703%22	https://html.rovadex.com/html-quadex/img/client-5.svg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/client-5.svg	(from https://html.rovadex.com/html-quadex/about.html)
12:14:00	184578/184578	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e34b6-2d102%22	https://html.rovadex.com/html-quadex/img/client-6.svg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/client-6.svg	(from https://html.rovadex.com/html-quadex/about.html)
12:14:00	25079/25079	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34ce-61f7%22	https://html.rovadex.com/html-quadex/img/img-serv-1.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/img-serv-1.jpg	(from https://html.rovadex.com/html-quadex/services.html)
12:14:01	18949/18949	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34cf-4a05%22	https://html.rovadex.com/html-quadex/img/img-serv-2.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/img-serv-2.jpg	(from https://html.rovadex.com/html-quadex/services.html)
12:14:01	23413/23413	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34cb-5b75%22	https://html.rovadex.com/html-quadex/img/img-1.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/img-1.jpg	(from https://html.rovadex.com/html-quadex/services.html)
12:14:02	108701/108701	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34cb-1a89d%22	https://html.rovadex.com/html-quadex/img/img-2.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/img-2.jpg	(from https://html.rovadex.com/html-quadex/services.html)
12:14:02	62287/62287	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34cc-f34f%22	https://html.rovadex.com/html-quadex/img/img-3.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/img-3.jpg	(from https://html.rovadex.com/html-quadex/services.html)
12:14:02	18819/18819	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e349b-4983%22	https://html.rovadex.com/html-quadex/sindle-blog.html	D:/Drone/Drone/html.rovadex.com/html-quadex/sindle-blog.html	(from https://html.rovadex.com/html-quadex/blog.html)
